Alpha_away,Alpha_home,Avg_goalmiss_for_away,Avg_goalmiss_for_home,Avg_goals_for_away,Avg_goals_for_home,Beta_away,Beta_home,Team
1.41,1.2,1.58,0.58,1.68,1.89,1,0.48,Arsenal
0.75,0.74,1.68,1.53,0.89,1.16,1.07,1.28,Aston Villa
0.53,0.67,2.05,1.84,0.63,1.05,1.3,1.54,Cardiff City
1.23,1.44,0.84,0.58,1.47,2.26,0.54,0.48,Chelsea
0.66,0.6,1.32,1.21,0.79,0.95,0.84,1.01,Crystal Palace
1.01,1.27,1.05,1,1.21,2,0.67,0.84,Everton
0.7,0.8,2.47,2,0.84,1.26,1.57,1.67,Fulham
0.79,0.67,1.68,1.11,0.95,1.05,1.07,0.93,Hull City
2.11,1.77,1.68,0.95,2.53,2.79,1.07,0.79,Liverpool
1.72,2.11,1.26,0.68,2.05,3.32,0.8,0.57,Manchester City
1.54,0.97,1.16,1.11,1.84,1.53,0.74,0.93,Manchester United
0.88,0.77,1.63,1.47,1.05,1.21,1.04,1.23,Newcastle United
0.48,0.57,2.32,0.95,0.58,0.89,1.47,0.79,Norwich City
0.97,1.07,1.21,1.21,1.16,1.68,0.77,1.01,Southampton
0.79,0.9,1.84,0.89,0.95,1.42,1.17,0.75,Stoke City
0.88,0.7,1.74,1.42,1.05,1.11,1.1,1.19,Sunderland
0.93,1.1,1.47,1.37,1.11,1.74,0.94,1.15,Swansea City
1.1,1,1.47,1.21,1.32,1.58,0.94,1.01,Tottenham Hotspurs
0.84,0.8,1.68,1.42,1,1.26,1.07,1.19,West Bromwich Albion
0.66,0.84,1.32,1.37,0.79,1.32,0.84,1.15,West Ham United
